 Date=99355 UT=    0. Lat= 70.0 Lon=   0.0 F107=100. F107A=100. Ap=  4.
 SZA=133.4 LST= 0.00 Dip= 77.7 Ec= 0.094 Ie=0
   Z    Photoion   EIion    Ecalc     O+(2P)    O+(2D)    O+(4S)     N+         N2+       O2+       NO+
 162.0  2.90E+00  1.17E+03  9.21E+04  1.29E+01  1.37E+01  1.71E+04  1.77E+02  6.94E+02  2.23E+04  4.90E+04
 165.0  3.06E+00  1.07E+03  9.04E+04  1.40E+01  1.52E+01  1.91E+04  1.88E+02  6.98E+02  2.15E+04  4.63E+04
 168.0  3.17E+00  9.82E+02  8.88E+04  1.52E+01  1.67E+01  2.12E+04  1.99E+02  6.99E+02  2.07E+04  4.36E+04
 172.0  3.24E+00  8.73E+02  8.70E+04  1.69E+01  1.90E+01  2.42E+04  2.14E+02  6.98E+02  1.96E+04  4.02E+04
 176.0  3.23E+00  7.72E+02  8.53E+04  1.85E+01  2.13E+01  2.73E+04  2.28E+02  6.91E+02  1.84E+04  3.68E+04
 180.0  3.16E+00  6.83E+02  8.39E+04  2.01E+01  2.38E+01  3.05E+04  2.41E+02  6.80E+02  1.72E+04  3.36E+04
 185.0  3.01E+00  5.86E+02  8.27E+04  2.22E+01  2.73E+01  3.49E+04  2.57E+02  6.63E+02  1.58E+04  2.97E+04
 190.0  2.81E+00  5.01E+02  8.20E+04  2.41E+01  3.09E+01  3.96E+04  2.73E+02  6.42E+02  1.43E+04  2.60E+04
 195.0  2.58E+00  4.29E+02  8.18E+04  2.59E+01  3.49E+01  4.45E+04  2.87E+02  6.18E+02  1.28E+04  2.26E+04
 200.0  2.35E+00  3.66E+02  8.23E+04  2.75E+01  3.92E+01  4.98E+04  3.02E+02  5.92E+02  1.14E+04  1.94E+04
 205.0  2.11E+00  3.13E+02  8.23E+04  2.89E+01  4.38E+01  5.47E+04  3.13E+02  5.67E+02  1.00E+04  1.67E+04
 211.0  1.85E+00  2.59E+02  8.24E+04  3.03E+01  5.00E+01  5.92E+04  3.31E+02  5.37E+02  8.37E+03  1.38E+04
 217.0  1.60E+00  2.15E+02  8.24E+04  3.12E+01  5.68E+01  6.32E+04  3.50E+02  5.07E+02  6.90E+03  1.14E+04
 223.0  1.38E+00  1.78E+02  8.24E+04  3.17E+01  6.43E+01  6.65E+04  3.68E+02  4.77E+02  5.63E+03  9.33E+03
 230.0  1.16E+00  1.43E+02  8.24E+04  3.16E+01  7.39E+01  6.97E+04  3.88E+02  4.43E+02  4.39E+03  7.38E+03
 237.0  9.66E-01  1.15E+02  8.24E+04  3.08E+01  8.45E+01  7.22E+04  4.10E+02  4.10E+02  3.39E+03  5.83E+03
 244.0  8.05E-01  9.27E+01  8.24E+04  2.94E+01  9.61E+01  7.42E+04  4.34E+02  3.79E+02  2.60E+03  4.60E+03
 252.0  6.53E-01  7.25E+01  8.24E+04  2.72E+01  1.10E+02  7.60E+04  4.63E+02  3.46E+02  1.91E+03  3.50E+03
 260.0  5.30E-01  5.68E+01  8.24E+04  2.46E+01  1.26E+02  7.73E+04  4.96E+02  3.15E+02  1.39E+03  2.67E+03
 268.0  4.30E-01  4.47E+01  8.24E+04  2.18E+01  1.43E+02  7.83E+04  5.34E+02  2.87E+02  1.01E+03  2.03E+03
 276.0  3.50E-01  3.54E+01  8.24E+04  1.91E+01  1.61E+02  7.91E+04  5.77E+02  2.61E+02  7.29E+02  1.54E+03
 284.0  2.85E-01  2.81E+01  8.24E+04  1.64E+01  1.80E+02  7.96E+04  6.25E+02  2.36E+02  5.27E+02  1.17E+03
 292.0  2.33E-01  2.24E+01  8.24E+04  1.40E+01  1.99E+02  8.00E+04  6.78E+02  2.13E+02  3.81E+02  8.88E+02
 300.0  1.90E-01  1.79E+01  8.24E+04  1.19E+01  2.19E+02  8.03E+04  7.36E+02  1.91E+02  2.75E+02  6.69E+02
 309.0  1.52E-01  1.40E+01  8.24E+04  9.80E+00  2.41E+02  8.05E+04  8.04E+02  1.68E+02  1.90E+02  4.81E+02
 318.0  1.22E-01  1.11E+01  8.24E+04  8.04E+00  2.62E+02  8.06E+04  8.71E+02  1.45E+02  1.31E+02  3.41E+02
 327.0  9.79E-02  8.75E+00  8.24E+04  6.58E+00  2.80E+02  8.07E+04  9.31E+02  1.23E+02  8.99E+01  2.39E+02
 336.0  7.88E-02  6.96E+00  8.24E+04  5.38E+00  2.93E+02  8.08E+04  9.77E+02  1.02E+02  6.14E+01  1.65E+02
 345.0  6.36E-02  5.55E+00  8.24E+04  4.39E+00  3.01E+02  8.08E+04  1.00E+03  8.29E+01  4.16E+01  1.11E+02
 355.0  5.02E-02  4.34E+00  8.24E+04  3.51E+00  3.01E+02  8.09E+04  1.00E+03  6.36E+01  2.68E+01  7.07E+01
 365.0  3.97E-02  3.41E+00  8.24E+04  2.80E+00  2.92E+02  8.10E+04  9.64E+02  4.71E+01  1.70E+01  4.38E+01
 375.0  3.15E-02  2.69E+00  8.24E+04  2.24E+00  2.74E+02  8.11E+04  8.98E+02  3.37E+01  1.07E+01  2.66E+01
 385.0  2.50E-02  2.12E+00  8.24E+04  1.79E+00  2.51E+02  8.13E+04  8.11E+02  2.34E+01  6.67E+00  1.59E+01
 395.0  1.99E-02  1.68E+00  8.24E+04  1.43E+00  2.24E+02  8.14E+04  7.13E+02  1.57E+01  4.14E+00  9.48E+00
 406.0  1.55E-02  1.31E+00  8.24E+04  1.12E+00  1.92E+02  8.15E+04  6.03E+02  9.93E+00  2.45E+00  5.37E+00
 417.0  1.21E-02  1.02E+00  8.24E+04  8.76E-01  1.61E+02  8.17E+04  5.01E+02  6.14E+00  1.45E+00  3.08E+00
 428.0  9.44E-03  7.92E-01  8.24E+04  6.87E-01  1.34E+02  8.18E+04  4.11E+02  3.75E+00  8.59E-01  1.80E+00
 440.0  7.23E-03  6.05E-01  8.24E+04  5.27E-01  1.07E+02  8.19E+04  3.28E+02  2.17E+00  4.90E-01  1.03E+00
 453.0  5.42E-03  4.53E-01  8.24E+04  3.96E-01  8.35E+01  8.20E+04  2.56E+02  1.20E+00  2.69E-01  5.77E-01
 467.0  3.98E-03  3.32E-01  8.24E+04  2.92E-01  6.33E+01  8.21E+04  1.96E+02  6.40E-01  1.43E-01  3.18E-01
 482.0  2.87E-03  2.39E-01  8.24E+04  2.11E-01  4.68E+01  8.22E+04  1.48E+02  3.30E-01  7.29E-02  1.72E-01
 498.0  2.03E-03  1.69E-01  8.24E+04  1.49E-01  3.37E+01  8.22E+04  1.11E+02  1.66E-01  3.61E-02  9.19E-02
 515.0  1.40E-03  1.17E-01  8.24E+04  1.03E-01  2.38E+01  8.23E+04  8.18E+01  8.15E-02  1.72E-02  4.79E-02
 533.0  9.53E-04  7.93E-02  8.24E+04  7.03E-02  1.64E+01  8.23E+04  5.98E+01  3.93E-02  7.95E-03  2.44E-02
 551.0  6.49E-04  5.39E-02  8.24E+04  4.79E-02  1.13E+01  8.23E+04  4.40E+01  1.93E-02  3.69E-03  1.25E-02
 570.0  4.33E-04  3.60E-02  8.24E+04  3.20E-02  7.64E+00  8.23E+04  3.21E+01  9.26E-03  1.66E-03  6.24E-03
 590.0  2.84E-04  2.36E-02  8.24E+04  2.10E-02  5.06E+00  8.23E+04  2.31E+01  4.34E-03  7.16E-04  3.01E-03
 610.0  1.87E-04  1.55E-02  8.24E+04  1.38E-02  3.35E+00  8.23E+04  1.67E+01  2.06E-03  3.11E-04  1.46E-03
 630.0  1.23E-04  1.02E-02  8.24E+04  9.10E-03  2.22E+00  8.23E+04  1.22E+01  9.84E-04  1.35E-04  7.06E-04
 650.0  8.14E-05  6.75E-03  8.24E+04  6.01E-03  1.47E+00  8.24E+04  8.89E+00  4.74E-04  5.92E-05  3.43E-04
 670.0  5.39E-05  4.47E-03  8.24E+04  3.98E-03  9.76E-01  8.24E+04  6.51E+00  2.30E-04  2.60E-05  1.67E-04
 690.0  3.58E-05  2.97E-03  8.24E+04  2.64E-03  6.49E-01  8.24E+04  4.78E+00  1.12E-04  1.15E-05  8.20E-05
 710.0  2.38E-05  1.97E-03  8.24E+04  1.76E-03  4.33E-01  8.24E+04  3.51E+00  5.48E-05  5.09E-06  4.03E-05
 730.0  1.59E-05  1.32E-03  8.24E+04  1.17E-03  2.89E-01  8.24E+04  2.59E+00  2.70E-05  2.27E-06  1.99E-05
 750.0  1.06E-05  8.80E-04  8.24E+04  7.84E-04  1.94E-01  8.24E+04  1.91E+00  1.33E-05  1.02E-06  9.88E-06
 770.0  7.11E-06  5.89E-04  8.24E+04  5.25E-04  1.30E-01  8.24E+04  1.41E+00  6.62E-06  4.57E-07  4.92E-06
 790.0  4.78E-06  3.96E-04  8.24E+04  3.53E-04  8.74E-02  8.24E+04  1.05E+00  3.30E-06  2.06E-07  2.46E-06
 810.0  3.21E-06  2.66E-04  8.24E+04  2.37E-04  5.89E-02  8.24E+04  7.78E-01  1.65E-06  9.37E-08  1.23E-06
 830.0  2.17E-06  1.79E-04  8.24E+04  1.60E-04  3.98E-02  8.24E+04  5.78E-01  8.31E-07  4.27E-08  6.21E-07
 850.0  1.47E-06  1.21E-04  8.24E+04  1.08E-04  2.69E-02  8.24E+04  4.31E-01  4.19E-07  1.96E-08  3.14E-07
 870.0  9.93E-07  8.21E-05  8.24E+04  7.32E-05  1.83E-02  8.24E+04  3.21E-01  2.12E-07  9.00E-09  1.59E-07
 890.0  6.74E-07  5.58E-05  8.24E+04  4.97E-05  1.24E-02  8.24E+04  2.40E-01  1.08E-07  4.15E-09  8.11E-08
 910.0  4.59E-07  3.79E-05  8.24E+04  3.38E-05  8.46E-03  8.24E+04  1.80E-01  5.51E-08  1.93E-09  4.15E-08
 930.0  3.13E-07  2.58E-05  8.24E+04  2.30E-05  5.78E-03  8.24E+04  1.35E-01  2.82E-08  8.98E-10  2.13E-08
 950.0  2.14E-07  1.77E-05  8.24E+04  1.57E-05  3.95E-03  8.24E+04  1.01E-01  1.45E-08  4.20E-10  1.10E-08
   z     3371   4278   5200   5577   6300   7320  10400   3466   7774   8446
  80.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  81.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  82.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  83.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  84.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  85.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  86.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  87.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  88.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  89.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  90.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  91.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  92.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  93.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  94.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  95.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  96.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  97.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  98.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  99.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 100.0    0.0    0.0    0.0    0.1    0.0    0.0    0.0    0.0    0.0    0.0
 101.0    0.1    0.1    0.0    0.3    0.0    0.0    0.0    0.0    0.0    0.0
 102.0    0.2    0.2    0.0    0.7    0.0    0.0    0.0    0.0    0.0    0.0
 103.0    0.4    0.4    0.0    1.7    0.0    0.0    0.1    0.0    0.0    0.1
 104.0    0.8    0.9    0.0    3.7    0.0    0.0    0.2    0.0    0.1    0.2
 105.0    1.5    1.8    0.0    7.4    0.0    0.0    0.4    0.0    0.2    0.3
 106.0    2.8    3.1    0.0   13.7    0.0    0.0    0.7    0.0    0.3    0.7
 107.0    4.6    5.2    0.0   23.5    0.0    0.0    1.3    0.1    0.6    1.2
 108.0    7.2    8.2    0.0   37.8    0.0    0.0    2.3    0.2    1.1    2.1
 109.0   10.7   11.9    0.0   57.0    0.0    0.0    3.8    0.3    1.7    3.3
 110.0   14.9   16.6    0.0   81.1    0.1    0.0    5.8    0.4    2.6    5.0
 111.5   22.3   24.7    0.0  124.9    0.1    0.0   10.3    0.7    4.3    8.3
 113.0   29.9   32.7    0.0  170.5    0.3    0.0   16.3    1.1    6.4   12.3
 114.5   36.8   39.8    0.1  212.6    0.5    0.0   23.5    1.6    8.6   16.5
 116.0   42.3   45.2    0.1  245.8    0.7    0.1   31.6    2.2   10.7   20.5
 118.0   48.5   50.8    0.1  281.6    1.2    0.1   44.2    3.0   13.5   25.8
 120.0   49.7   51.0    0.2  286.4    1.8    0.1   54.6    3.7   14.9   28.6
 122.0   49.6   49.9    0.2  282.5    2.6    0.2   64.3    4.4   15.9   30.5
 124.0   49.0   48.4    0.3  275.9    3.3    0.2   72.7    5.0   16.7   31.9
 126.0   48.3   46.8    0.4  268.7    4.2    0.3   80.3    5.5   17.4   33.1
 128.0   47.1   44.9    0.5  259.4    5.1    0.4   87.0    5.9   17.8   34.0
 130.0   45.7   42.9    0.5  248.9    6.1    0.4   92.7    6.3   18.1   34.5
 132.0   44.2   40.8    0.6  237.6    7.2    0.5   97.5    6.7   18.2   34.7
 134.0   42.5   38.6    0.7  226.0    8.3    0.6  101.4    6.9   18.3   34.8
 136.0   40.7   36.5    0.7  214.5    9.5    0.7  104.4    7.1   18.2   34.6
 138.0   38.9   34.4    0.8  203.2   10.6    0.8  106.7    7.3   18.1   34.3
 140.0   37.0   32.4    0.9  192.2   11.8    0.9  108.2    7.4   17.9   33.9
 142.0   35.2   30.5    1.0  181.4   13.1    1.0  109.0    7.5   17.6   33.4
 144.0   33.5   28.6    1.0  171.0   14.4    1.1  109.2    7.5   17.4   32.9
 146.0   31.7   26.8    1.1  161.2   15.7    1.2  108.9    7.4   17.1   32.2
 148.0   30.0   25.1    1.1  152.2   16.9    1.3  108.1    7.4   16.7   31.6
 150.0   28.4   23.5    1.2  143.7   18.3    1.4  106.9    7.3   16.4   30.9
 153.0   26.2   21.4    1.3  132.6   20.4    1.6  105.1    7.2   15.9   30.0
 156.0   24.0   19.4    1.4  121.3   22.4    1.8  101.8    7.0   15.3   28.8
 159.0   21.9   17.4    1.4  110.9   24.3    2.0   97.9    6.7   14.7   27.6
 162.0   19.9   15.7    1.5  101.2   26.3    2.2   93.4    6.4   14.1   26.4
 165.0   18.1   14.1    1.5   92.3   28.1    2.4   88.7    6.1   13.5   25.2
 168.0   16.4   12.6    1.6   84.1   30.0    2.6   83.8    5.7   12.8   23.9
 172.0   14.3   10.9    1.6   74.3   32.4    2.9   77.4    5.3   12.1   22.4
 176.0   12.5    9.4    1.6   65.4   34.7    3.2   70.7    4.8   11.2   20.8
 180.0   10.8    8.1    1.7   57.4   36.8    3.4   64.1    4.4   10.5   19.3
 185.0    9.1    6.7    1.7   48.7   39.2    3.8   56.4    3.9    9.5   17.6
 190.0    7.5    5.5    1.7   41.1   41.1    4.1   49.0    3.4    8.6   15.9
 195.0    6.2    4.5    1.7   34.5   42.7    4.4   42.3    2.9    7.8   14.3
 200.0    5.1    3.7    1.6   28.8   43.7    4.7   36.2    2.5    7.0   12.8
 205.0    4.2    3.0    1.6   23.9   44.1    4.9   30.8    2.1    6.3   11.4
 211.0    3.3    2.3    1.5   18.9   43.6    5.2   25.2    1.7    5.5    9.9
 217.0    2.6    1.8    1.4   14.9   42.2    5.3   20.5    1.4    4.7    8.6
 223.0    2.0    1.4    1.4   11.7   40.1    5.4   16.5    1.1    4.1    7.4
 230.0    1.5    1.1    1.3    8.7   36.8    5.4   12.7    0.9    3.4    6.2
 237.0    1.1    0.8    1.2    6.5   33.0    5.3    9.8    0.7    2.8    5.1
 244.0    0.8    0.6    1.1    4.8   28.9    5.0    7.4    0.5    2.3    4.2
 252.0    0.5    0.4    1.0    3.4   24.2    4.7    5.4    0.4    1.7    3.3
 260.0    0.3    0.3    0.9    2.4   19.8    4.2    3.9    0.3    1.3    2.6
 268.0    0.2    0.2    0.8    1.7   15.9    3.7    2.9    0.2    1.0    2.0
 276.0    0.1    0.2    0.7    1.2   12.6    3.3    2.1    0.1    0.8    1.6
 284.0    0.1    0.1    0.6    0.9    9.8    2.8    1.5    0.1    0.6    1.2
 292.0    0.1    0.1    0.5    0.6    7.6    2.4    1.1    0.1    0.4    1.0
 300.0    0.0    0.1    0.5    0.5    5.8    2.0    0.8    0.1    0.3    0.8
 309.0    0.0    0.0    0.4    0.3    4.3    1.7    0.6    0.0    0.2    0.6
 318.0    0.0    0.0    0.3    0.2    3.2    1.4    0.4    0.0    0.2    0.5
 327.0    0.0    0.0    0.3    0.2    2.4    1.1    0.3    0.0    0.1    0.4
 336.0    0.0    0.0    0.2    0.1    1.7    0.9    0.2    0.0    0.1    0.3
 345.0    0.0    0.0    0.2    0.1    1.3    0.8    0.2    0.0    0.1    0.2
 355.0    0.0    0.0    0.1    0.1    0.9    0.6    0.1    0.0    0.1    0.2
 365.0    0.0    0.0    0.1    0.1    0.7    0.5    0.1    0.0    0.0    0.1
 375.0    0.0    0.0    0.1    0.0    0.5    0.4    0.1    0.0    0.0    0.1
 385.0    0.0    0.0    0.0    0.0    0.4    0.3    0.0    0.0    0.0    0.1
 395.0    0.0    0.0    0.0    0.0    0.3    0.2    0.0    0.0    0.0    0.1
 406.0    0.0    0.0    0.0    0.0    0.2    0.2    0.0    0.0    0.0    0.0
