 Date= 1234 UT=56789. Lat=  0.0 Lon=   0.0 F107=100. F107A=100. Ap=  4.
 SZA= 56.7 LST=15.77 Dip= 22.7 Clat= -7.7 Clon=   1.5 CSZA= 60.2 Ec= 0.006 Ie=0
  Z     Photoion   EIion    Ecalc     O+(2P)    O+(2D)    O+(4S)     N+         N2+       O2+       NO+
 217.0  1.02E+03  3.14E+02  1.24E+05  1.33E+02  2.14E+02  4.42E+04  1.53E+03  3.89E+03  9.10E+03  6.53E+04
 223.0  9.00E+02  2.78E+02  1.26E+05  1.42E+02  2.46E+02  5.34E+04  1.65E+03  3.84E+03  8.25E+03  5.84E+04
 230.0  7.76E+02  2.41E+02  1.29E+05  1.51E+02  2.87E+02  6.54E+04  1.82E+03  3.75E+03  7.32E+03  5.04E+04
 237.0  6.68E+02  2.09E+02  1.75E+05  1.57E+02  3.32E+02  1.28E+05  2.24E+03  3.55E+03  6.64E+03  3.36E+04
 244.0  5.75E+02  1.81E+02  2.35E+05  1.60E+02  3.82E+02  2.00E+05  2.81E+03  3.30E+03  5.64E+03  2.22E+04
 252.0  4.85E+02  1.53E+02  3.16E+05  1.60E+02  4.44E+02  2.90E+05  3.62E+03  2.96E+03  4.46E+03  1.39E+04
 260.0  4.08E+02  1.30E+02  4.10E+05  1.57E+02  5.09E+02  3.90E+05  4.61E+03  2.58E+03  3.37E+03  8.56E+03
 268.0  3.44E+02  1.09E+02  5.13E+05  1.49E+02  5.75E+02  4.97E+05  5.76E+03  2.17E+03  2.45E+03  5.11E+03
 276.0  2.91E+02  9.18E+01  6.21E+05  1.38E+02  6.37E+02  6.07E+05  7.07E+03  1.75E+03  1.74E+03  3.02E+03
 284.0  2.46E+02  7.67E+01  7.30E+05  1.25E+02  6.89E+02  7.16E+05  8.49E+03  1.36E+03  1.22E+03  1.79E+03
 292.0  2.09E+02  6.37E+01  8.34E+05  1.11E+02  7.24E+02  8.21E+05  9.94E+03  1.03E+03  8.50E+02  1.07E+03
 300.0  1.77E+02  5.27E+01  9.30E+05  9.77E+01  7.40E+02  9.16E+05  1.13E+04  7.67E+02  6.01E+02  6.73E+02
 309.0  1.48E+02  4.24E+01  1.02E+06  8.39E+01  7.40E+02  1.01E+06  1.23E+04  5.54E+02  4.16E+02  4.38E+02
 318.0  1.23E+02  3.40E+01  1.09E+06  7.21E+01  7.26E+02  1.08E+06  1.29E+04  4.05E+02  2.97E+02  3.06E+02
 327.0  1.03E+02  2.72E+01  1.15E+06  6.19E+01  7.00E+02  1.13E+06  1.31E+04  2.98E+02  2.15E+02  2.20E+02
 336.0  8.66E+01  2.17E+01  1.18E+06  5.31E+01  6.64E+02  1.17E+06  1.31E+04  2.20E+02  1.56E+02  1.61E+02
 345.0  7.29E+01  1.74E+01  1.20E+06  4.56E+01  6.22E+02  1.18E+06  1.28E+04  1.63E+02  1.13E+02  1.18E+02
 355.0  6.02E+01  1.36E+01  1.20E+06  3.85E+01  5.70E+02  1.19E+06  1.24E+04  1.17E+02  7.96E+01  8.49E+01
 365.0  4.99E+01  1.06E+01  1.20E+06  3.25E+01  5.16E+02  1.19E+06  1.18E+04  8.40E+01  5.59E+01  6.13E+01
 375.0  4.15E+01  8.37E+00  1.18E+06  2.75E+01  4.65E+02  1.17E+06  1.11E+04  6.10E+01  3.94E+01  4.45E+01
 385.0  3.45E+01  6.62E+00  1.15E+06  2.34E+01  4.19E+02  1.14E+06  1.03E+04  4.48E+01  2.78E+01  3.26E+01
 395.0  2.88E+01  5.27E+00  1.11E+06  1.99E+01  3.78E+02  1.10E+06  9.51E+03  3.33E+01  1.97E+01  2.39E+01
 406.0  2.36E+01  4.12E+00  1.06E+06  1.67E+01  3.39E+02  1.05E+06  8.64E+03  2.44E+01  1.35E+01  1.71E+01
 417.0  1.94E+01  3.24E+00  9.96E+05  1.41E+01  3.05E+02  9.88E+05  7.79E+03  1.81E+01  9.32E+00  1.23E+01
 428.0  1.60E+01  2.57E+00  9.32E+05  1.19E+01  2.75E+02  9.25E+05  6.97E+03  1.36E+01  6.44E+00  8.90E+00
 440.0  1.29E+01  2.01E+00  8.62E+05  9.94E+00  2.47E+02  8.55E+05  6.13E+03  1.01E+01  4.32E+00  6.26E+00
 453.0  1.03E+01  1.55E+00  7.87E+05  8.17E+00  2.21E+02  7.81E+05  5.30E+03  7.37E+00  2.78E+00  4.29E+00
 467.0  8.12E+00  1.18E+00  7.10E+05  6.61E+00  1.96E+02  7.05E+05  4.50E+03  5.29E+00  1.74E+00  2.86E+00
 482.0  6.29E+00  8.88E-01  6.34E+05  5.27E+00  1.73E+02  6.30E+05  3.75E+03  3.74E+00  1.06E+00  1.85E+00
 498.0  4.80E+00  6.61E-01  5.63E+05  4.13E+00  1.51E+02  5.59E+05  3.08E+03  2.60E+00  6.22E-01  1.17E+00
 515.0  3.61E+00  4.88E-01  4.97E+05  3.19E+00  1.31E+02  4.94E+05  2.48E+03  1.77E+00  3.56E-01  7.24E-01
 533.0  2.67E+00  3.56E-01  4.38E+05  2.42E+00  1.12E+02  4.35E+05  1.97E+03  1.18E+00  1.98E-01  4.38E-01
 551.0  1.99E+00  2.61E-01  3.88E+05  1.83E+00  9.47E+01  3.87E+05  1.56E+03  7.80E-01  1.11E-01  2.67E-01
 570.0  1.46E+00  1.89E-01  3.45E+05  1.36E+00  7.90E+01  3.44E+05  1.22E+03  5.04E-01  6.07E-02  1.59E-01
 590.0  1.05E+00  1.36E-01  3.09E+05  1.00E+00  6.48E+01  3.08E+05  9.46E+02  3.17E-01  3.24E-02  9.34E-02
 610.0  7.62E-01  9.76E-02  2.79E+05  7.34E-01  5.26E+01  2.78E+05  7.31E+02  1.99E-01  1.74E-02  5.54E-02
 630.0  5.53E-01  7.05E-02  2.55E+05  5.38E-01  4.24E+01  2.55E+05  5.65E+02  1.24E-01  9.41E-03  3.32E-02
 650.0  4.02E-01  5.11E-02  2.36E+05  3.94E-01  3.39E+01  2.35E+05  4.38E+02  7.69E-02  5.12E-03  2.00E-02
 670.0  2.93E-01  3.71E-02  2.20E+05  2.89E-01  2.69E+01  2.20E+05  3.40E+02  4.75E-02  2.80E-03  1.22E-02
 690.0  2.14E-01  2.70E-02  2.07E+05  2.12E-01  2.12E+01  2.07E+05  2.65E+02  2.93E-02  1.54E-03  7.46E-03
 710.0  1.57E-01  1.97E-02  1.97E+05  1.56E-01  1.66E+01  1.96E+05  2.07E+02  1.79E-02  8.47E-04  4.59E-03
 730.0  1.15E-01  1.45E-02  1.88E+05  1.15E-01  1.29E+01  1.88E+05  1.62E+02  1.10E-02  4.68E-04  2.84E-03
 750.0  8.43E-02  1.06E-02  1.81E+05  8.47E-02  9.99E+00  1.81E+05  1.27E+02  6.69E-03  2.60E-04  1.77E-03
 770.0  6.20E-02  7.80E-03  1.75E+05  6.25E-02  7.70E+00  1.75E+05  9.98E+01  4.07E-03  1.45E-04  1.10E-03
 790.0  4.57E-02  5.75E-03  1.70E+05  4.61E-02  5.91E+00  1.70E+05  7.87E+01  2.48E-03  8.07E-05  6.90E-04
 810.0  3.38E-02  4.24E-03  1.66E+05  3.41E-02  4.53E+00  1.66E+05  6.21E+01  1.50E-03  4.51E-05  4.34E-04
 830.0  2.50E-02  3.14E-03  1.63E+05  2.53E-02  3.46E+00  1.63E+05  4.92E+01  9.14E-04  2.53E-05  2.74E-04
 850.0  1.85E-02  2.33E-03  1.60E+05  1.88E-02  2.64E+00  1.60E+05  3.90E+01  5.55E-04  1.42E-05  1.73E-04
 870.0  1.37E-02  1.73E-03  1.58E+05  1.39E-02  2.01E+00  1.58E+05  3.10E+01  3.37E-04  8.03E-06  1.10E-04
 890.0  1.02E-02  1.28E-03  1.56E+05  1.04E-02  1.53E+00  1.56E+05  2.47E+01  2.05E-04  4.54E-06  7.06E-05
 910.0  7.60E-03  9.58E-04  1.54E+05  7.74E-03  1.17E+00  1.54E+05  1.97E+01  1.25E-04  2.57E-06  4.56E-05
 930.0  5.67E-03  7.15E-04  1.53E+05  5.77E-03  8.87E-01  1.53E+05  1.57E+01  7.59E-05  1.46E-06  2.95E-05
 950.0  4.23E-03  5.31E-04  1.52E+05  4.31E-03  6.74E-01  1.52E+05  1.26E+01  4.63E-05  8.32E-07  1.92E-05
   z     3371   4278   5200   5577   6300   7320  10400   3466   7774   8446
  80.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  81.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  82.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  83.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  84.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  85.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  86.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  87.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  88.0    0.0    0.1    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  89.0    0.1    0.1    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  90.0    0.1    0.1    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  91.0    0.1    0.1    0.0    0.1    0.0    0.0    0.0    0.0    0.0    0.0
  92.0    0.2    0.2    0.0    0.2    0.1    0.0    0.0    0.0    0.0    0.0
  93.0    0.3    0.4    0.0    0.6    0.2    0.0    0.0    0.0    0.0    0.0
  94.0    0.6    0.8    0.0    1.4    0.4    0.0    0.1    0.0    0.0    0.0
  95.0    1.2    1.4    0.0    3.1    0.6    0.0    0.1    0.0    0.0    0.1
  96.0    2.0    2.3    0.0    6.4    0.9    0.0    0.2    0.0    0.1    0.1
  97.0    3.3    3.8    0.0   12.4    1.3    0.0    0.4    0.0    0.1    0.2
  98.0    5.1    5.9    0.0   22.5    1.9    0.0    0.7    0.0    0.2    0.4
  99.0    7.5    8.8    0.0   37.4    2.5    0.0    1.1    0.1    0.4    0.8
 100.0   10.6   12.3    0.0   56.7    3.4    0.0    1.8    0.1    0.6    1.2
 101.0   14.1   16.3    0.0   77.8    4.3    0.0    2.7    0.2    0.9    1.9
 102.0   17.8   20.5    0.0   99.7    5.5    0.0    3.9    0.3    1.4    2.7
 103.0   21.6   24.7    0.0  120.9    6.9    0.0    5.4    0.4    1.9    3.7
 104.0   25.2   28.5    0.0  140.5    8.5    0.0    7.2    0.5    2.4    4.8
 105.0   28.2   31.6    0.0  157.1   10.4    0.0    9.2    0.6    3.0    6.0
 106.0   30.5   33.9    0.0  169.3   12.5    0.0   11.4    0.8    3.5    7.1
 107.0   32.0   35.3    0.0  177.3   14.9    0.0   13.7    0.9    4.0    8.1
 108.0   32.8   35.9    0.0  181.2   17.5    0.0   15.9    1.1    4.5    9.0
 109.0   32.9   35.7    0.0  181.4   20.3    0.0   18.0    1.2    4.8    9.7
 110.0   32.6   35.1    0.0  178.8   23.2    0.0   20.1    1.4    5.1   10.3
 111.5   31.6   33.6    0.0  172.7   27.6    0.0   23.0    1.6    5.4   11.0
 113.0   30.5   32.0    0.1  165.7   31.7    0.0   26.1    1.8    5.7   11.5
 114.5   29.6   30.5    0.1  159.7   35.5    0.0   29.6    2.0    5.9   11.9
 116.0   29.2   29.5    0.1  155.7   38.6    0.1   33.6    2.3    6.2   12.5
 118.0   29.3   28.9    0.1  154.0   42.0    0.1   40.1    2.7    6.7   13.5
 120.0   30.3   29.0    0.2  156.2   44.4    0.1   48.0    3.3    7.5   14.9
 122.0   32.1   29.8    0.2  161.6   46.2    0.1   57.2    3.9    8.4   16.6
 124.0   34.6   31.2    0.3  169.3   47.3    0.2   67.8    4.6    9.6   18.7
 126.0   37.5   33.0    0.4  178.8   48.2    0.2   79.6    5.4   10.9   21.1
 128.0   40.9   35.2    0.5  189.9   48.9    0.3   92.5    6.3   12.5   23.8
 130.0   44.4   37.6    0.7  201.3   49.6    0.4  106.0    7.2   14.2   26.6
 132.0   47.9   40.1    0.8  213.1   50.3    0.5  120.1    8.2   16.0   29.6
 134.0   51.5   42.7    1.0  224.8   51.3    0.6  134.4    9.2   17.8   32.6
 136.0   54.8   45.3    1.2  236.1   52.4    0.8  148.6   10.2   19.7   35.6
 138.0   57.8   47.9    1.4  246.6   53.8    0.9  162.6   11.1   21.6   38.6
 140.0   60.5   50.5    1.7  256.1   55.4    1.1  176.0   12.0   23.4   41.3
 142.0   62.8   53.0    1.9  264.3   57.4    1.4  188.7   12.9   25.1   44.0
 144.0   64.7   55.3    2.2  271.1   59.7    1.6  200.5   13.7   26.7   46.4
